Revealed,ID,Rarity,Character Name,Character Version,Chakra,Power,Keyword,Group,Effects Type,Effects Timing,Effect,Set,Image
TRUE,KS-013-C,C,Sasuke Uchiha,Last of the Uchiha Clan,2,4,Team 7,Leaf Village,MAIN,⧗ Continuous,**MAIN** [⧗] This character has -1 Power for every other non-hidden friendly character in this mission.,Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/13_C_Sasuke_Last-1920w.webp
TRUE,KS-014-UC,UC,Sasuke Uchiha,Sharingan,3,4,"Team 7, Kekkei Genkai",Leaf Village,"AMBUSH, UPGRADE",↯ On play,"**AMBUSH** [↯] Look at the opponent's hand.

**UPGRADE** AMBUSH effect: In addition, discard 1 card. If you do so, choose 1 card in the opponent’s hand and discard it.",Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/14_UC_Sasuke_Sharingan-1920w.webp
TRUE,KS-015-C,C,Kakashi Hatake,Teacher of Team 7,3,3,Team 7,Leaf Village,MAIN,⧗ Continuous,**MAIN** [⧗] Other *Team 7* characters in this mission have +1 Power.,Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/15_C_Kakashi_Teacher-1920w.webp
TRUE,KS-016-UC,UC,Kakashi Hatake,Sharingan,4,4,Team 7,Leaf Village,"MAIN, UPGRADE",↯ On play,"**MAIN** [↯] Copy a non-upgrade instant effect (↯) of an enemy character with cost 4 or less in play.

**UPGRADE** MAIN effect: Instead, there's no cost limit.",Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/16_UC_Kakashi_Sharingan-1920w.webp
TRUE,KS-017-C,C,Choji Akimichi,Expansion Jutsu,2,1,"Team 10, Jutsu",Leaf Village,MAIN,↯ On play,**MAIN** [↯] **POWERUP 3**.,Konoha Shidō,http://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/17_C_Choji_Expansion-1920w.webp
TRUE,KS-018-UC,UC,Choji Akimichi,Human Boulder,4,4,"Team 10, Jutsu",Leaf Village,"MAIN, UPGRADE","⧗ Continuous, ↯ On play","**MAIN** [⧗] After you move this character, hide an enemy character in this mission with less Power than this character.

**UPGRADE** [↯] Move this character.",Konoha Shidō,http://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/18_UC_Choji_Human_Boulder-1920w.webp
TRUE,KS-019-C,C,Ino Yamanaka,Genin of Team 10,1,1,Team 10,Leaf Village,MAIN,↯ On play,"**MAIN** [↯] If there's another *Team 10* character in this mission, **POWERUP 1**.",Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/19_C_Ino_Genin-1920w.webp
TRUE,KS-020-UC,UC,Ino Yamanaka,Mind Transfer Jutsu,3,0,"Team 10, Jutsu",Leaf Village,"MAIN, UPGRADE",↯ On play,"**MAIN** [↯] Take control of an enemy character with cost 2 or less in this mission.

**UPGRADE** MAIN effect: Instead, the cost limit is 3 or less.",Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/20_UC_Ino_Mind_Transfer-1920w.webp
TRUE,KS-021-C,C,Shikamaru Nara,Genin of Team 10,1,0,Team 10,Leaf Village,MAIN,↯ On play,"**MAIN** [↯] If you have the Edge, draw a card.",Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/21_C_Shikamaru_Genin-1920w.webp
TRUE,KS-022-UC,UC,Shikamaru Nara,Shadow Possession Jutsu,3,3,"Team 10, Jutsu",Leaf Village,AMBUSH,↯ On play,**AMBUSH** [↯] Move an enemy character played during the opponent's previous turn.,Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/22_UC_Shikamaru_Shadow_Possession-1920w.webp
TRUE,KS-023-C,C,Asuma Sarutobi,Teacher of Team 10,3,3,Team 10,Leaf Village,MAIN,↯ On play,**MAIN** [↯] Move another *Team 10* character from this mission.,Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/23_C_Asuma_Teacher-1920w.webp
TRUE,KS-024-UC,UC,Asuma Sarutobi,Chakra Blade,4,4,Team 10,Leaf Village,AMBUSH,↯ On play,"**AMBUSH** [↯] Draw a card. Then, discard a card to **POWERUP 3**.",Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/24_UC_Asuma_Trench_Knives-1920w.webp
TRUE,KS-025-C,C,Kiba Inuzuka,Genin of Team 8,2,2,Team 8,Leaf Village,MAIN,⧗ Continuous,"**MAIN** [⧗] If Akamaru is in the same mission, **CHAKRA +1**.",Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/25_C_Kiba_Genin-1920w.webp
TRUE,KS-026-UC,UC,Kiba Inuzuka,All-Fours Jutsu,3,3,"Team 8, Jutsu",Leaf Village,"MAIN, UPGRADE",↯ On play,"**MAIN** [↯] Hide the non-hidden enemy character with the lowest cost in this mission.

**UPGRADE** [↯] Look at the 3 top cards of your deck, reveal and draw any *Akamaru* characters, then put back the other cards.",Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/26_UC_Kiba_All_Four-1920w.webp
TRUE,KS-027-C,C,Akamaru,Ninja Hound,1,2,Team 8,Leaf Village,MAIN,⧗ Continuous,"**MAIN** [⧗] If there isn't a Kiba Inuzuka in this mission at the end of the round, you must return this character to your hand.",Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/27_C_Akamaru_Hound-1920w.webp
TRUE,KS-028-UC,UC,Akamaru,Man Beast Clone,2,3,"Team 8, Jutsu",Leaf Village,"MAIN, AMBUSH","⧗ Continuous, ↯ On play","**MAIN** [⧗] At the end of the round, you may return this card to your hand.

**AMBUSH** [↯] **POWERUP 2** a friendly *Kiba Inuzuka* in this mission.",Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/28_UC_Akamaru_Man_Beast_Clone-1920w.webp
TRUE,KS-029-UC,UC,Akamaru,Two-Headed Wolf,4,4,"Team 8, Jutsu",Leaf Village,"MAIN, UPGRADE","⧗ Continuous, ↯ On play","**MAIN** [⧗] You can play this character as an upgrade over *Kiba Inuzuka*.

**UPGRADE** [↯] Hide the non-hidden enemy character with the lowest cost in this mission.",Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/29_UC_Akamaru_Two-Headed_Wolf-1920w.webp
TRUE,KS-030-C,C,Hinata Hyuga,Gentle Fist,2,2,"Team 8, Taijutsu",Leaf Village,MAIN,↯ On play,**MAIN** [↯] Remove up to 2 Power tokens from an enemy character in play.,Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/30_C_Hinata_Gentle_fist-1920w.webp
TRUE,KS-031-UC,UC,Hinata Hyuga,Byakugan,3,2,"Team 8, Kekkei Genkai",Leaf Village,MAIN,⧗ Continuous,"**MAIN** [⧗] When a non-hidden enemy character is played in this mission, gain 1 Chakra.",Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/31_UC_Hinata_Byakugan-1920w.webp
TRUE,KS-032-C,C,Shino Aburame,Parasitic Insects,2,3,Team 8,Leaf Village,MAIN,↯ On play,**MAIN** [↯] Each player draws a card.,Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/32_C_Shino_Parasitic_Insects-1920w.webp
TRUE,KS-033-UC,UC,Shino Aburame,Insect Clones,4,4,"Team 8, Jutsu",Leaf Village,"AMBUSH, UPGRADE",↯ On play,"**AMBUSH** [↯] Play this character paying 4 less if there's an enemy *Jutsu* character in this mission.

**UPGRADE** [↯] Move this character.",Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/33_UC_Shino_Insect_Clones-1920w.webp
TRUE,KS-034-C,C,Kurenai Yuhi,Teacher of Team 8,3,3,Team 8,Leaf Village,MAIN,⧗ Continuous,**MAIN** [⧗] Other *Team 8* characters costs 1 less (min.1) to play in this mission.,Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/34_C_Kurenai_Teacher-1920w.webp
TRUE,KS-035-UC,UC,Kurenai Yuhi,Tree Bind: Death,4,4,"Team 8, Jutsu",Leaf Village,"MAIN, UPGRADE","⧗ Continuous, ↯ On play","**MAIN** [⧗] Enemy characters cannot move from this mission.

**UPGRADE** [↯] Defeat an enemy character with Power 1 or less in this mission.",Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/35_UC_Kurenai_Tree_Bind-1920w.webp
TRUE,KS-036-C,C,Neji Hyuga,Gentle Fist,2,2,"Team Guy, Taijutsu",Leaf Village,MAIN,↯ On play,**MAIN** [↯] Remove up to 2 Power tokens from an enemy character in play.,Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/36_C_Neji_Gentle_fist-1920w.webp
TRUE,KS-037-UC,UC,Neji Hyuga,Eight Trigrams: Palm Rotation,4,4,"Team Guy, Jutsu",Leaf Village,"MAIN, UPGRADE","⧗ Continuous, ↯ On play","**MAIN** [⧗] When a non-hidden enemy character is played in this mission, **POWERUP 1**.

**UPGRADE** [↯] Remove all Power tokens from an enemy character in this mission.",Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/37_UC_Neji_Palm_Rotation-1920w.webp
TRUE,KS-038-C,C,Rock Lee,Training in Ferocious Fist,2,3,Team Guy,Leaf Village,AMBUSH,↯ On play,**AMBUSH** [↯] **POWERUP 1**.,Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/38_C_RockLee_Training-1920w.webp
TRUE,KS-039-UC,UC,Rock Lee,Primary Lotus,4,4,"Team Guy, Jutsu",Leaf Village,"MAIN, UPGRADE","⧗ Continuous, ↯ On play","**MAIN** [⧗] This character doesn't lose Power tokens at the end of the round.

**UPGRADE** [↯] **POWERUP 2**.",Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/39_UC_RockLee_Primary_Lotus-1920w.webp
TRUE,KS-040-C,C,Tenten,Genin of Team Guy,1,2,Team Guy,Leaf Village,MAIN,⧗ Continuous,**MAIN** [⧗] You can play this character only in a mission where you are currently winning.,Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/40_C_Tenten_Genin-1920w.webp
TRUE,KS-041-UC,UC,Tenten,Weapon Specialist,3,3,Team Guy,Leaf Village,"MAIN, UPGRADE",↯ On play,"**MAIN** [↯] Defeat an hidden character in this mission.

**UPGRADE** [↯] **POWERUP 1** another *Leaf Village* character in play.",Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/41_UC_Tenten_Weapon_Specialist-1920w.webp
TRUE,KS-042-C,C,Might Guy,Teacher of Team Guy,3,3,Team Guy,Leaf Village,MAIN,⧗ Continuous,**MAIN** [⧗] Other *Team Guy* characters in this mission have +1 Power.,Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/42_C_MightGuy_Teacher-1920w.webp
TRUE,KS-043-UC,UC,Might Guy,Ferocious Fist,4,4,"Team Guy, Taijutsu",Leaf Village,"MAIN, UPGRADE","⧗ Continuous, ↯ On play","**MAIN** [⧗] This character doesn't lose Power tokens at the end of the round.

**UPGRADE** [↯] **POWERUP 3**.",Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/43_UC_MightGuy_Ferocious_Fist-1920w.webp
TRUE,KS-044-C,C,Anko Mitarashi,Genin Exams Proctor,2,2,Special Jonin,Leaf Village,MAIN,⧗ Continuous,"**MAIN** [⧗] If you have at least one other friendly *Leaf Village* character in this mission, **CHAKRA +1**.",Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/44_C_Anko_Proctor-1920w.webp
TRUE,KS-045-UC,UC,Anko Mitarashi,Striking Shadow Snake,3,4,"Special Jonin, Jutsu",Leaf Village,AMBUSH,↯ On play,**AMBUSH** [↯] Defeat an hidden enemy character in play.,Konoha Shidō,https://irp.cdn-website.com/99e556bf/dms3rep/multi/45_UC_Anko_Striking_Shadows.webp
TRUE,KS-046-C,C,Ebisu,Elite Trainer,3,3,Special Jonin,Leaf Village,MAIN,↯ On play,"**MAIN** [↯] If there is a friendly non-hidden character with less Power than this character in this mission, draw a card.",Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/46_C_Ebisu_Trainer-1920w.webp
TRUE,KS-047-C,C,Iruka Umino,Academy Instructor,3,3,,Leaf Village,MAIN,↯ On play,**MAIN** [↯] Move a *Naruto Uzumaki* character in play.,Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/47_C_Iruka_Instructor-1920w.webp
TRUE,KS-048-C,C,Hayate Gekko,Skilled Shinobi,3,3,Special Jonin,Leaf Village,MAIN,⧗ Continuous,"**MAIN** [⧗] If this character would be defeated, hide it instead.",Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/48_C_Hayate_Shinobi-1920w.webp
TRUE,KS-049-C,C,Genma Shiranui,Elite Guard,3,3,Special Jonin,Leaf Village,MAIN,⧗ Continuous,"**MAIN** [⧗] If a friendly *Leaf Village* character in this mission would be hidden or defeated by enemy effects, you can defeat this character instead.",Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/49_C_Genma_Elite_Guard-1920w.webp
TRUE,KS-050-C,C,Orochimaru,Undercover,4,4,"Sannin, Sound Ninja",Sound Village,AMBUSH,↯ On play,"**AMBUSH** [↯] Look at a hidden enemy character in this mission. If it costs 3 or less, take control of that character and move it to your side.",Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/50_C_Orochimaru_Undercover-1920w.webp
TRUE,KS-051-UC,UC,Orochimaru,Orochimaru Style: Substitution Jutsu,5,5,Sannin,Sound Village,"MAIN, UPGRADE","⧗ Continuous, ↯ On play","**MAIN** [⧗] If you lost this mission during the Mission Evaluation phase, move this character to another mission.

**UPGRADE** [↯] Defeat an hidden enemy character in play.",Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/51_UC_Orochimaru_Substitution-1920w.webp
TRUE,KS-052-C,C,Kabuto Yakushi,Infiltrator,3,3,Sound Ninja,Sound Village,AMBUSH,↯ On play,**AMBUSH** [↯] Draw the top card of the opponent's deck and put it hidden in any mission under your control.,Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/52_C_Kabuto-Infiltrator-1920w.webp
TRUE,KS-053-UC,UC,Kabuto Yakushi,Yin Healing Wound Destruction,4,4,Jutsu,Sound Village,"UPGRADE, MAIN",↯ On play,"**UPGRADE** [↯] Discard a card.

**MAIN** [↯] Play the character at the top of your discard pile paying 3 less.",Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/53_UC_Kabuto_Yin_Healing-1920w.webp
TRUE,KS-054-UC,UC,Kabuto Yakushi,Nirvana Temple Jutsu,5,5,Jutsu,Sound Village,"UPGRADE, MAIN",↯ On play,"**UPGRADE** [↯] **POWERUP 1**

**MAIN** [↯] Hide all other characters in this mission with less Power than this character.",Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/54_UC_Kabuto_Nirvana_Temple-1920w.webp
TRUE,KS-055-C,C,Kimimaro,Camelia Dance,3,3,Weapon,Sound Village,AMBUSH,↯ On play,**AMBUSH** [↯] Discard a card to hide a character in play with cost 3 or less.,Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/55_C_Kimimaro_Camelia_Dance-1920w.webp
TRUE,KS-056-UC,UC,Kimimaro,Shikotsumyaku,4,6,Kekkei Genkai,Sound Village,"MAIN, UPGRADE","⧗ Continuous, ↯ On play","**MAIN** [⧗] If this character is affected by an enemy effect, the opponent must pay 1 Chakra, if able.

**UPGRADE** [↯] Discard a card to hide a character in play with cost 4 or less.",Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/56_UC_Kimimaro_Shikotsumyaku-1920w.webp
TRUE,KS-057-C,C,Jirobo,Bearer of the Curse Mark,2,2,Sound Four,Sound Village,MAIN,↯ On play,**MAIN** [↯] **POWERUP X**. X is the number of missions where you have at least one friendly *Sound Four* character.,Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/57_C_Jiroubou_Bearer-1920w.webp
TRUE,KS-058-UC,UC,Jirobo,Earth Style Barrier: Earth Dome Prison,4,4,"Sound Four, Jutsu",Sound Village,"MAIN, UPGRADE",↯ On play,"**MAIN** [↯] **POWERUP 1** to all other friendly *Sound Four* characters in this mission.

**UPGRADE** [↯] Apply the MAIN effect to *Sound Four* characters in the other missions.",Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/58_UC_Jirobo_Earth_Dome-1920w.webp
TRUE,KS-059-C,C,Kidomaru,Bearer of the Curse Mark,3,2,Sound Four,Sound Village,MAIN,↯ On play,**MAIN** [↯] Move X friendly character(s). X is the number of missions where you have at least one friendly *Sound Four* character.,Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/59_C_Kidomaru_Bearer-1920w.webp
TRUE,KS-060-UC,UC,Kidomaru,Spiral Spider Web,4,4,"Sound Four, Jutsu",Sound Village,"MAIN, AMBUSH",↯ On play,"**MAIN** [↯] Move a character from this mission.

**AMBUSH** [↯] Defeat an enemy character with Power 1 or less in play.",Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/60_UC_Kidomaru_Spider_Web-1920w.webp
TRUE,KS-061-C,C,Sakon,Bearer of the Curse Mark,3,2,Sound Four,Sound Village,MAIN,↯ On play,**MAIN** [↯] Draw X card(s). X is the number of missions where you have at least one friendly *Sound Four* character.,Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/61_C_Sakon_Bearer-1920w.webp
TRUE,KS-062-UC,UC,Sakon,Black Seal,4,4,"Sound Four, Jutsu",Sound Village,AMBUSH,↯ On play,**AMBUSH** [↯] Copy a instant effect (↯) of another friendly *Sound Four* character in play.,Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/62_UC_Sakon_Black_Seal-1920w.webp
TRUE,KS-063-UC,UC,Ukon,Molecular Possession,5,6,"Sound Four, Kekkei Genkai",Sound Village,MAIN,⧗ Continuous,**MAIN** [⧗] You can play this character as an upgrade over any *Sound Village* character.,Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/63_UC_Ukon_Molecular_Possession-1920w.webp
TRUE,KS-064-C,C,Tayuya,Bearer of the Curse Mark,2,1,Sound Four,Sound Village,MAIN,⧗ Continuous,**MAIN** [⧗] **CHAKRA +X**. X is the number of missions where you have at least one friendly *Sound Four* character.,Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/64_C_Tayuya_Bearer-1920w.webp
TRUE,KS-065-UC,UC,Tayuya,Demon Flute,4,4,"Sound Four, Jutsu",Sound Village,"AMBUSH, UPGRADE",↯ On play,"**AMBUSH** [↯] **POWERUP 2** a friendly *Sound village* character in play.

**UPGRADE** [↯] Look at the 3 top cards of your deck, reveal and draw any *Summon* characters, then put back the other cards.",Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/65_UC_Tayuya_Demon_Flute-1920w.webp
TRUE,KS-066-UC,UC,Rage Ogres,Summoning,4,5,Summon,Sound Village,MAIN,↯ On play,"**MAIN** [↯] If you have a *Sound Four* character in this mission, steal 1 Chakra from the opponent.

**MAIN** [⧗] At the end of the round, you must return this character to your hand.",Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/66_UC_Rage_Ogres_Summoning-1920w.webp
TRUE,KS-067-UC,UC,Rashomon,Summoning,4,0,Summon,Independent,MAIN,⧗ Continuous,"**MAIN** [⧗] The strongest enemy character in this mission loses all Power tokens and has its Power set to 0.

**MAIN** [⧗] At the end of the round, you must return this character to your hand.",Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/67_UC_Rashomon_Summoning-1920w.webp
TRUE,KS-068-C,C,Dosu Kinuta,Superhuman Hearing,3,3,Sound Ninja,Sound Village,"MAIN, AMBUSH",↯ On play,"**MAIN** [↯] Look at a hidden character in play.

**AMBUSH** [↯] Defeat a hidden character in play.",Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/68_C_Dosu_Superhuman-1920w.webp
TRUE,KS-069-UC,UC,Dosu Kinuta,Resonating Echo Speaker,4,5,"Sound Ninja, Weapon",Sound Village,"UPGRADE, MAIN",↯ On play,"**UPGRADE** [↯] Look at a hidden character in play.

**MAIN** [↯] Choose a hidden enemy character in play. Opponent must either play them paying 2 more, or defeat them.",Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/69_UC_Dosu_Echo_Speaker-1920w.webp
TRUE,KS-070-C,C,Zaku Abumi,Overconfident Shinobi,2,4,Sound Ninja,Sound Village,MAIN,↯ On play,**MAIN** [↯] Opponent gains 1 Chakra.,Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/70_C_Zaku_Shinobi-1920w.webp
TRUE,KS-071-UC,UC,Zaku Abumi,Slicing Sound Wave,4,5,Sound Ninja,Sound Village,"MAIN, UPGRADE",↯ On play,"**MAIN** [↯] If you have less non-hidden characters than the opponent in this mission, move an enemy character from this mission.

**UPGRADE** [↯] **POWERUP 2**.",Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/71_UC_Zaku_Slicing-1920w.webp
TRUE,KS-072-C,C,Kin Tsuchi,Kunoichi,1,3,Sound Ninja,Sound Village,MAIN,↯ On play,**MAIN** [↯] Opponent draws a card.,Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/72_C_Kin_Kunoichi-1920w.webp
TRUE,KS-073-UC,UC,Kin Tsuchi,Bell Sound Clone,4,4,"Sound Ninja, Jutsu",Sound Village,"MAIN, UPGRADE",↯ On play,"**MAIN** [↯] Discard a card to hide an enemy character with Power 4 or less.

**UPGRADE** [↯] Put the top card of your deck as a hidden character in this mission.",Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/73_UC_KinTsuchi_Bell_Sound-1920w.webp
TRUE,KS-074-C,C,Gaara,Genin of the Sand Village,2,2,Team Baki,Sand Village,MAIN,↯ On play,**MAIN** [↯] **POWERUP X** where X is the number of friendly hidden characters in this mission.,Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/74_C_Gaara_Jinchuriki-1920w.webp
TRUE,KS-075-C,C,Gaara,Sand Shield,3,3,"Team Baki, Jutsu",Sand Village,MAIN,⧗ Continuous,"**MAIN** [⧗] If this character would be moved or defeated by enemy effects, instead hide them.

**MAIN** [⧗] You can play this character while hidden paying 2 less.",Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/75_C_Gaara_Sand_Shield-1920w.webp
TRUE,KS-076-UC,UC,One-tail,Partial transformation,6,9,Tailed Beast,Sand Village,MAIN,⧗ Continuous,"**MAIN** [⧗] You can play this character as an upgrade over *Gaara*.

**MAIN** [⧗] Can't be hidden or defeated by enemy effects.",Konoha Shidō,https://lirp.cdn-website.com/99e556bf/dms3rep/multi/opt/76_UC_One-Tail_Partial_Trasformation-1920w.webp
